Datetime,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-08-03 09:45:00,,,,,,0.590551181102,0.53,SLR-045,,0.0605511811024,0.39,,6.0,28.5,0.214,,0.214,,0.214,
2017-08-17 11:40:00,,0.169069951407,,,,,,SLR-045,0.214,,0.36,0.36,6.0,28.5,0.175,0.175,0.175,0.175,0.175,0.175
2017-08-17 11:40:00,,,,,,0.393700787402,0.5,SLR-045,,-0.106299212598,0.36,0.36,6.0,28.5,0.175,0.175,0.175,0.175,0.175,0.175
2017-08-17 11:55:00,,0.0,,,,,,SLR-045,0.214,,0.21,0.21,6.0,28.5,0.045,0.045,0.045,0.045,0.045,0.045
2017-08-17 11:55:00,,,,,,0.393700787402,0.35,SLR-045,,0.0437007874016,0.21,0.21,6.0,28.5,0.045,0.045,0.045,0.045,0.045,0.045
2017-08-29 11:15:00,,0.163786515425,,,,,,SLR-045,0.035,,0.25,0.25,6.0,28.5,0.07,0.07,0.07,0.07,0.07,0.07
2017-08-29 11:15:00,,,,,,0.196850393701,0.39,SLR-045,,-0.193149606299,0.25,0.25,6.0,28.5,0.07,0.07,0.07,0.07,0.07,0.07
2017-08-29 11:25:00,,1.91524554328,,,,,,SLR-045,1.209,,0.8,0.8,6.0,28.5,1.288,1.288,1.288,1.288,1.288,1.288
2017-08-29 11:25:00,,,,,,0.787401574803,0.94,SLR-045,,-0.152598425197,0.8,0.8,6.0,28.5,1.288,1.288,1.288,1.288,1.288,1.288
2017-08-29 11:35:00,,1.55531146704,,,,,,SLR-045,0.922,,0.76,0.76,6.0,28.5,1.133,1.133,1.133,1.133,1.133,1.133
2017-08-29 11:35:00,,,,,,0.708661417323,0.9,SLR-045,,-0.191338582677,0.76,0.76,6.0,28.5,1.133,1.133,1.133,1.133,1.133,1.133
2017-08-29 11:40:00,,0.0,,,,,,SLR-045,0.796,,0.6,0.6,6.0,28.5,0.627,0.627,0.627,0.627,0.627,0.627
2017-08-29 11:40:00,,,,,,0.669291338583,0.74,SLR-045,,-0.0707086614173,0.6,0.6,6.0,28.5,0.627,0.627,0.627,0.627,0.627,0.627
2017-09-19 10:50:00,,0.0105668719629,,,,,,SLR-045,0.035,,0.37,0.37,6.0,28.5,0.187,0.187,0.187,0.187,0.187,0.187
2017-09-19 10:50:00,,,,,,0.196850393701,0.51,SLR-045,,-0.313149606299,0.37,0.37,6.0,28.5,0.187,0.187,0.187,0.187,0.187,0.187
2017-09-19 11:10:00,,0.0,,,,,,SLR-045,0.035,,0.33,0.33,6.0,28.5,0.141,0.141,0.141,0.141,0.141,0.141
2017-09-19 11:10:00,,,,,,0.196850393701,0.47,SLR-045,,-0.273149606299,0.33,0.33,6.0,28.5,0.141,0.141,0.141,0.141,0.141,0.141
2017-10-05 10:40:00,,0.0,,,,,,SLR-045,0.0,,,,,,,,,,,
2017-10-05 10:40:00,,,,,,0.0,0.22,SLR-045,,-0.22,,,,,,,,,,
2018-05-14 11:05:00,,0.0,,,,,,SLR-045,,,,,6.0,28.5,,,,,,
2018-05-14 11:05:00,2018-05-14 11:10:00,,,,,0.0393700787402,0.299285714286,SLR-045,,-0.259915635546,,,6.0,28.5,,,,,,
2018-05-22 16:20:00,,0.0,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-22 16:20:00,2018-05-22 16:25:00,,,,,-0.275590551181,-0.01,SLR-045,,-0.265590551181,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 11:05:00,,0.0,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-25 11:05:00,2018-05-25 11:10:00,,,,-0.472440944882,-0.472440944882,-0.237,SLR-045,,-0.235440944882,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-12 10:00:00,2018-06-12 10:05:00,,,,,-0.688976377953,-0.154,SLR-045,,-0.534976377953,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-25 12:00:00,2018-06-25 12:05:00,,,,,0.0,-0.262,SLR-045,,0.262,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 09:40:00,,0.0845349757035,,,,,,SLR-045,,,0.52,0.52,6.0,28.5,0.439,0.439,0.439,0.439,0.439,0.439
2018-07-10 09:40:00,2018-07-10 09:45:00,,,,,0.314960629921,0.892,SLR-045,,-0.577039370079,0.52,0.52,6.0,28.5,0.439,0.439,0.439,0.439,0.439,0.439
2018-07-10 09:45:00,,2.08935877449,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-10 09:45:00,2018-07-10 09:50:00,,,,,0.984251968504,-3.762,SLR-045,,4.7462519685,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-18 13:00:00,2018-07-18 13:05:00,,,,,-0.236220472441,-0.019,SLR-045,,-0.217220472441,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 10:10:00,,0.0,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 10:10:00,2018-07-23 10:15:00,,,,,-0.0984251968504,-0.611,SLR-045,,0.51257480315,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-06 08:50:00,,3.73803095689,,,,,,SLR-045,,,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-06 08:50:00,,3.73803095689,,,,,,SLR-045,,,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-06 08:50:00,,3.73803095689,,,,,,SLR-045,,,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-06 08:50:00,2018-08-06 08:55:00,,,,,1.22047244094,1.499,SLR-045,,-0.278527559055,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-06 08:50:00,2018-08-06 08:55:00,,,,,1.22047244094,1.499,SLR-045,,-0.278527559055,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-06 08:50:00,2018-08-06 08:55:00,,,,,1.22047244094,1.499,SLR-045,,-0.278527559055,1.12,1.12,6.0,28.5,3.053,3.053,3.053,3.053,3.053,3.053
2018-08-21 10:30:00,,0.0818932577127,,,,,,SLR-045,,,0.34,0.34,6.0,28.5,0.152,0.152,0.152,0.152,0.152,0.152
2018-08-21 10:30:00,2018-08-21 10:35:00,,,,0.275590551181,0.275590551181,0.715,SLR-045,,-0.439409448819,0.34,0.34,6.0,28.5,0.152,0.152,0.152,0.152,0.152,0.152
2018-09-05 09:50:00,2018-09-05 09:55:00,,,,,0.0,0.167,SLR-045,,-0.167,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 13:50:00,,0.19680799031,,,,,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-18 13:50:00,2018-09-18 13:55:00,,,,0.393700787402,0.393700787402,,SLR-045,,,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 16:10:00,2018-09-27 16:15:00,,,,,-0.393700787402,-0.27,SLR-045,,-0.123700787402,0.0,0.0,6.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0
