Datetime,Comments,Datetime_after,Flow_gpm_1,Flow_gpm_2,Flow_gpm_3,Flow_predicted (gpm),Level (inches),Level_above_V_in_After,Level_above_V_in_Before,Manual Level_in,Manual Measurement (inches),SITE ID,V-notch weir equation (gpm),calculated offset,Level_in,Level_in_clipped,Vnotch(in),CrestWidth(in),Flow (gpm),Flow (gpm) no stormflow,Flow (gpm) USBR,Flow (gpm) USBR no stormflow,Flow (gpm) CTRSC,Flow (gpm) CTRSC no stormflow
2017-08-17 09:35:00,,,0.0,,,,,,,,,SWT-030,1.37,,0.64,0.64,5.0,34.0,0.737,0.737,0.737,0.737,0.737,0.737
2017-08-17 09:35:00,,,,,,,,,0.826771653543,5.53,,SWT-030,,-4.70322834646,0.64,0.64,5.0,34.0,0.737,0.737,0.737,0.737,0.737,0.737
2017-08-31 09:55:00,,,0.0,,,,,,,,,SWT-030,1.209,,0.5,0.5,5.0,34.0,0.398,0.398,0.398,0.398,0.398,0.398
2017-08-31 09:55:00,,,,,,,,,0.787401574803,5.39,,SWT-030,,-4.6025984252,0.5,0.5,5.0,34.0,0.398,0.398,0.398,0.398,0.398,0.398
2017-09-19 12:20:00,,,4.50137833189,,,,,,,,,SWT-030,3.475,,1.03,1.03,5.0,34.0,2.481,2.481,2.481,2.481,2.481,2.481
2017-09-19 12:20:00,,,,,,,,,1.1811023622,5.92,,SWT-030,,-4.7388976378,1.03,1.03,5.0,34.0,2.481,2.481,2.481,2.481,2.481,2.481
2017-09-19 12:45:00,,,1.41913223714,,,,,,,,,SWT-030,2.92,,0.56,0.56,5.0,34.0,0.528,0.528,0.528,0.528,0.528,0.528
2017-09-19 12:45:00,,,,,,,,,1.10236220472,5.45,,SWT-030,,-4.34763779528,0.56,0.56,5.0,34.0,0.528,0.528,0.528,0.528,0.528,0.528
2017-10-02 14:55:00,,,1.26517354025,,,,,,,,,SWT-030,1.209,,,,,,,,,,,
2017-10-02 14:55:00,,,,,,,,,0.787401574803,5.45,,SWT-030,,-4.6625984252,,,,,,,,,,
2018-04-25 12:05:00,,2018-04-25 12:10:00,,,,,,0.0,0.0,,,SWT-030,,,,,,,,,,,,
2018-05-14 09:00:00,,,0.211337439259,,,,,,,,,SWT-030,,,0.32,0.32,6.0,39.0,0.13,0.13,0.13,0.13,0.13,0.13
2018-05-14 09:00:00,,2018-05-14 09:05:00,,,,,,,0.433070866142,4.55432,,SWT-030,,-4.12124913386,0.32,0.32,6.0,39.0,0.13,0.13,0.13,0.13,0.13,0.13
2018-05-25 08:25:00,,,0.153219643463,,,,,,,,,SWT-030,,,0.24,0.24,6.0,39.0,0.063,0.063,0.063,0.063,0.063,0.063
2018-05-25 08:25:00,,2018-05-25 08:30:00,,,,,,,0.354330708661,4.47558,,SWT-030,,-4.12124929134,0.24,0.24,6.0,39.0,0.063,0.063,0.063,0.063,0.063,0.063
2018-06-11 11:25:00,,,0.0369840518703,,,,,,,,,SWT-030,,,0.17,0.17,6.0,39.0,0.027,0.027,0.027,0.027,0.027,0.027
2018-06-11 11:25:00,,2018-06-11 11:30:00,,,,,,,0.196850393701,4.39684,,SWT-030,,-4.1999896063,0.17,0.17,6.0,39.0,0.027,0.027,0.027,0.027,0.027,0.027
2018-06-25 08:40:00,,,0.723830729461,,,,,,,,,SWT-030,,,0.56,0.56,6.0,39.0,0.528,0.528,0.528,0.528,0.528,0.528
2018-06-25 08:40:00,,2018-06-25 08:45:00,,,,,,,0.590551181102,4.79054,,SWT-030,,-4.1999888189,0.56,0.56,6.0,39.0,0.528,0.528,0.528,0.528,0.528,0.528
2018-07-09 10:15:00,,,0.0079251539722,,,,,,,,,SWT-030,,,,,6.0,39.0,,,,,,
2018-07-09 10:15:00,,2018-07-09 10:20:00,,,,,,,0.11811023622,,,SWT-030,,,,,6.0,39.0,,,,,,
2018-07-17 14:15:00,,,0.0,,,,,,,,,SWT-030,,,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-17 14:15:00,,2018-07-17 14:20:00,,,,,,,-0.314960629921,3.964,,SWT-030,,-4.27896062992,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-23 10:25:00,,,0.0501926418239,,,,,,,,,SWT-030,,,0.09,0.09,6.0,39.0,0.005,0.005,0.005,0.005,0.005,0.005
2018-07-23 10:25:00,,2018-07-23 10:30:00,,,,,,,0.0236220472441,4.319,,SWT-030,,-4.29537795276,0.09,0.09,6.0,39.0,0.005,0.005,0.005,0.005,0.005,0.005
2018-08-06 10:30:00,,,0.0211337439259,,,,,,,,,SWT-030,,,0.1,0.1,6.0,39.0,0.007,0.007,0.007,0.007,0.007,0.007
2018-08-06 10:30:00,,2018-08-06 10:35:00,,,,,,,0.236220472441,4.33,,SWT-030,,-4.09377952756,0.1,0.1,6.0,39.0,0.007,0.007,0.007,0.007,0.007,0.007
2018-08-20 09:50:00,,,0.0,,,,,,,,,SWT-030,,,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-20 09:50:00,,2018-08-20 09:55:00,,,,,,,0.0,4.142,,SWT-030,,-4.142,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-04 10:05:00,,2018-09-04 10:10:00,,,,,,,0.0,0.989,,SWT-030,,-0.989,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-17 09:25:00,,2018-09-17 09:30:00,,,,,,,0.0,1.603,,SWT-030,,-1.603,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 11:50:00,,2018-09-27 11:55:00,,,,,,,0.0,4.445,,SWT-030,,-4.445,0.21,0.21,6.0,39.0,0.045,0.045,0.045,0.045,0.045,0.045
